day_id,open,high,low,close,volume
D0040445,0.63751,0.6426,0.63729,0.64152,5901.8375
D0040500,0.64024,0.64251,0.63947,0.6395,10046.1976
D0040515,0.63934,0.64362,0.63932,0.64362,18141.6578
D0040530,0.64363,0.64729,0.64265,0.64729,14538.9109
D0040545,0.64732,0.64787,0.64509,0.64544,3395.6959
D0040600,0.64524,0.64693,0.64299,0.64631,55936.4586
D0040615,0.64611,0.64623,0.6423,0.6423,16829.9281
D0040630,0.6423,0.64302,0.64105,0.64267,3531.5862
D0040645,0.64229,0.64362,0.64044,0.64295,8839.7129
D0040700,0.64248,0.64248,0.64004,0.64158,15746.0351
D0040715,0.64179,0.64179,0.63858,0.63918,11869.0642
D0040730,0.63959,0.6409,0.63892,0.64051,3594.7789
D0040745,0.64045,0.64045,0.63805,0.63826,4673.3767
D0040800,0.63872,0.64243,0.63856,0.64243,52515.2546
D0040815,0.6425,0.6445,0.64212,0.64243,18598.3277
D0040830,0.64277,0.64277,0.63464,0.63482,7263.3192
D0040845,0.63532,0.63821,0.63491,0.63533,6235.5407
D0040900,0.63537,0.63792,0.63537,0.63736,3501.0316
D0040915,0.63784,0.639,0.63782,0.63854,2478.4825
D0040930,0.63843,0.63843,0.63304,0.63365,5260.5835
D0040945,0.63493,0.63539,0.63279,0.63336,7923.9681
D0041000,0.63311,0.63311,0.62829,0.63112,12165.5658
D0041015,0.62969,0.63082,0.62384,0.62535,25449.7124
D0041030,0.62576,0.62735,0.62293,0.62735,6045.0746
D0041045,0.62762,0.6277,0.62175,0.62175,7041.8073
D0041100,0.6221,0.62428,0.61967,0.62397,15035.1927
D0041115,0.6245,0.62565,0.62261,0.625,6219.8359
D0041130,0.62509,0.6272,0.62348,0.62433,5915.3022
D0041145,0.62503,0.62535,0.61598,0.6188,16419.0385
D0041200,0.61906,0.62305,0.61491,0.6229,18892.8546
D0041215,0.62296,0.62481,0.62164,0.62481,4491.4078
D0041230,0.62486,0.6277,0.6223,0.6275,43385.5058
D0041245,0.62652,0.62719,0.62171,0.62197,4620.2845
D0041300,0.62351,0.62496,0.6171,0.6171,9827.5296
D0041315,0.61995,0.62222,0.61654,0.62115,6404.7574
D0041330,0.62173,0.62204,0.61283,0.6132,13989.6674
D0041345,0.61251,0.61253,0.60436,0.60589,17271.7127
D0041400,0.60812,0.61069,0.60347,0.60409,16305.6526
D0041415,0.60411,0.60759,0.5994,0.6035,23170.7518
